timestamp,district,crop,soil_moisture,soil_temp_c,air_temp_c,humidity_pct,rainfall_mm,nitrogen_mg_kg,anomaly,irrigation_needed,rainfall
2024-06-01 17:00:00,Thanjavur,Rice,82.97,25.4,28.26,91.32,16.29,180.87,Normal,No Action,
2024-06-01 18:00:00,Thanjavur,Rice,84.77,26.49,25.62,89.59,14.46,192.32,Normal,No Action,
2024-06-01 19:00:00,Thanjavur,Rice,83.42,27.05,28.45,85.03,15.54,183.76,Normal,No Action,
2024-06-01 20:00:00,Thanjavur,Rice,86.37,25.24,30.6,84.09,14.99,190.95,Normal,No Action,
2024-06-01 21:00:00,Thanjavur,Rice,81.03,25.75,28.65,87.69,12.85,180.34,Normal,No Action,
2024-06-01 22:00:00,Thanjavur,Rice,80.81,27.31,27.12,95.9,13.62,178.39,Normal,No Action,
2024-06-01 23:00:00,Thanjavur,Rice,86.44,24.75,28.84,94.93,12.79,180.92,Normal,No Action,
2024-06-02 00:00:00,Thanjavur,Rice,84.78,27.77,26.64,84.42,14.92,181.48,Normal,No Action,
2024-06-02 01:00:00,Thanjavur,Rice,84.75,27.12,27.48,90.63,14.69,176.43,Normal,No Action,
2024-06-02 02:00:00,Thanjavur,Rice,89.6,27.31,26.71,92.33,13.43,183.94,Normal,No Action,
2024-06-02 03:00:00,Thanjavur,Rice,87.48,25.37,29.95,91.35,15.22,189.48,Normal,No Action,
2024-06-02 04:00:00,Thanjavur,Rice,83.26,25.47,27.17,86.44,14.32,181.71,Normal,No Action,
2024-06-02 05:00:00,Thanjavur,Rice,84.83,27.84,28.52,95.51,14.14,193.6,Normal,No Action,
2024-06-02 06:00:00,Thanjavur,Rice,85.88,25.31,26.89,91.63,14.18,183.57,Normal,No Action,
2024-06-02 07:00:00,Thanjavur,Rice,85.42,26.49,27.23,83.64,13.95,184.28,Normal,No Action,
2024-06-02 08:00:00,Thanjavur,Rice,84.64,24.73,28.76,91.24,13.52,180.77,Normal,No Action,
2024-06-02 09:00:00,Thanjavur,Rice,84.17,24.89,29.04,91.94,15.48,185.27,Normal,No Action,
2024-06-02 10:00:00,Thanjavur,Rice,79.87,25.19,29.27,91.76,14.92,199.26,Normal,No Action,
2024-06-02 11:00:00,Thanjavur,Rice,85.71,28.3,29.93,92.31,14.08,183.79,Normal,No Action,
2024-06-02 12:00:00,Thanjavur,Rice,81.68,26.24,27.77,90.03,16.71,170.66,Normal,No Action,
2024-06-02 13:00:00,Thanjavur,Rice,86.06,24.18,27.79,94.06,14.46,174.61,Normal,No Action,
2024-06-02 14:00:00,Thanjavur,Rice,81.85,27.62,27.4,90.57,14.45,176.74,Normal,No Action,
2024-06-02 15:00:00,Thanjavur,Rice,90.43,27.55,25.46,90.45,13.74,184.26,Normal,No Action,
2024-06-02 16:00:00,Thanjavur,Rice,81.62,26.43,29.26,93.16,13.2,178.33,Normal,No Action,
2024-06-02 17:00:00,Thanjavur,Rice,82.58,25.62,31.15,91.32,13.14,184.59,Normal,No Action,
2024-06-02 18:00:00,Thanjavur,Rice,90.37,28.15,26.22,87.76,15.67,176.46,Normal,No Action,
2024-06-02 19:00:00,Thanjavur,Rice,85.33,27.76,27.11,89.46,11.16,174.88,Normal,No Action,
2024-06-02 20:00:00,Thanjavur,Rice,83.24,24.73,30.95,83.98,13.96,180.65,Normal,No Action,
2024-06-02 21:00:00,Thanjavur,Rice,88.32,24.45,30.24,89.74,13.42,182.31,Normal,No Action,
2024-06-02 22:00:00,Thanjavur,Rice,84.6,25.7,28.6,88.16,14.51,183.31,Normal,No Action,
2024-06-02 23:00:00,Thanjavur,Rice,88.76,24.74,31.7,81.89,14.25,182.94,Normal,No Action,
2024-06-03 00:00:00,Thanjavur,Rice,84.84,25.67,28.19,87.73,13.81,184.25,Normal,No Action,
2024-06-03 01:00:00,Thanjavur,Rice,85.07,25.56,29.85,90.93,15.21,183.15,Normal,No Action,
2024-06-03 02:00:00,Thanjavur,Rice,81.51,25.76,29.62,92.14,14.38,180.59,Normal,No Action,
2024-06-03 03:00:00,Thanjavur,Rice,87.83,25.71,29.32,88.89,14.18,185.49,Normal,No Action,
2024-06-03 04:00:00,Thanjavur,Rice,86.48,27.82,30.46,89.78,15.08,178.45,Normal,No Action,
2024-06-03 05:00:00,Thanjavur,Rice,84.97,26.4,28.65,92.08,13.58,190.46,Normal,No Action,
2024-06-03 06:00:00,Thanjavur,Rice,80.98,24.78,30.24,92.87,15.02,183.14,Normal,No Action,
2024-06-03 07:00:00,Thanjavur,Rice,83.96,25.25,28.61,86.99,15.38,179.26,Normal,No Action,
2024-06-03 08:00:00,Thanjavur,Rice,81.52,26.12,29.12,87.45,13.58,181.22,Normal,No Action,
2024-06-03 09:00:00,Thanjavur,Rice,84.73,25.84,27.79,90.63,12.95,172.96,Normal,No Action,
2024-06-03 10:00:00,Thanjavur,Rice,81.84,26.28,28.97,95.6,15.26,179.2,Normal,No Action,
2024-06-03 11:00:00,Thanjavur,Rice,83.94,25.1,28.47,88.55,14.72,175.86,Normal,No Action,
2024-06-03 12:00:00,Thanjavur,Rice,85.56,28.9,28.34,91.31,15.09,177.99,Normal,No Action,
2024-06-03 13:00:00,Thanjavur,Rice,84.67,26.62,28.65,86.61,14.42,182.49,Normal,No Action,
2024-06-03 14:00:00,Thanjavur,Rice,88.35,28.04,31.73,86.63,15.27,180.92,Normal,No Action,
2024-06-03 15:00:00,Thanjavur,Rice,90.57,25.39,27.24,87.3,12.28,177.37,Normal,No Action,
2024-06-03 16:00:00,Thanjavur,Rice,81.72,26.83,29.01,97.2,15.35,177.12,Normal,No Action,
2024-06-03 17:00:00,Thanjavur,Rice,81.3,27.34,26.52,97.03,15.58,177.65,Normal,No Action,
2024-06-03 18:00:00,Thanjavur,Rice,78.86,28.63,28.33,94.65,12.81,177.0,Normal,No Action,
2024-06-03 19:00:00,Thanjavur,Rice,84.02,26.67,27.82,92.19,13.33,179.29,Normal,No Action,
2024-06-03 20:00:00,Thanjavur,Rice,84.36,27.37,29.57,85.2,12.87,186.39,Normal,No Action,
2024-06-03 21:00:00,Thanjavur,Rice,85.0,25.48,30.83,90.16,15.58,180.34,Normal,No Action,
2024-06-03 22:00:00,Thanjavur,Rice,90.18,29.23,28.13,93.59,15.05,186.84,Normal,No Action,
2024-06-03 23:00:00,Thanjavur,Rice,81.11,27.63,30.09,82.67,13.22,169.8,Normal,No Action,
2024-06-04 00:00:00,Thanjavur,Rice,83.19,27.68,30.75,90.0,16.03,173.1,Normal,No Action,
2024-06-04 01:00:00,Thanjavur,Rice,78.89,26.52,29.08,89.57,12.33,179.55,Normal,No Action,
2024-06-04 02:00:00,Thanjavur,Rice,80.09,27.6,29.05,85.94,13.89,174.7,Normal,No Action,
2024-06-04 03:00:00,Thanjavur,Rice,83.81,28.03,27.02,91.72,13.87,176.04,Normal,No Action,
2024-06-04 04:00:00,Thanjavur,Rice,83.68,25.05,27.67,84.91,16.36,180.18,Normal,No Action,
2024-06-04 05:00:00,Thanjavur,Rice,81.9,26.92,28.33,88.82,15.01,183.79,Normal,No Action,
2024-06-04 06:00:00,Thanjavur,Rice,82.41,25.74,28.09,80.49,12.88,186.83,Normal,No Action,
2024-06-04 07:00:00,Thanjavur,Rice,88.93,26.23,29.36,90.95,17.48,185.6,Normal,No Action,
2024-06-04 08:00:00,Thanjavur,Rice,83.62,25.17,26.09,90.51,13.64,172.89,Normal,No Action,
2024-06-04 09:00:00,Thanjavur,Rice,82.06,24.98,31.03,93.23,14.39,187.4,Normal,No Action,
2024-06-04 10:00:00,Thanjavur,Rice,84.23,25.31,30.78,91.86,13.36,179.05,Normal,No Action,
2024-06-04 11:00:00,Thanjavur,Rice,81.37,24.53,29.89,97.34,13.0,182.81,Normal,No Action,
2024-06-04 12:00:00,Thanjavur,Rice,82.05,25.87,27.61,86.24,14.45,175.85,Normal,No Action,
2024-06-04 13:00:00,Thanjavur,Rice,84.81,26.52,28.14,86.07,13.82,183.78,Normal,No Action,
2024-06-04 14:00:00,Thanjavur,Rice,85.5,25.13,28.65,92.71,12.73,182.72,Normal,No Action,
2024-06-04 15:00:00,Thanjavur,Rice,82.01,27.46,27.36,82.48,12.77,180.24,Normal,No Action,
2024-06-04 16:00:00,Thanjavur,Rice,84.78,25.24,29.46,83.05,14.33,173.94,Normal,No Action,
2024-06-04 17:00:00,Thanjavur,Rice,82.04,26.67,27.21,88.16,15.41,177.12,Normal,No Action,
2024-06-04 18:00:00,Thanjavur,Rice,86.51,24.91,29.29,95.47,11.93,176.02,Normal,No Action,
2024-06-04 19:00:00,Thanjavur,Rice,85.73,26.3,29.06,87.28,14.49,179.22,Normal,No Action,
2024-06-04 20:00:00,Thanjavur,Rice,87.5,26.98,29.01,88.05,13.91,177.84,Normal,No Action,
2024-06-04 21:00:00,Thanjavur,Rice,85.18,25.97,28.93,98.0,15.27,178.37,Normal,No Action,
2024-06-04 22:00:00,Thanjavur,Rice,87.6,25.99,25.44,85.67,12.53,178.24,Normal,No Action,
2024-06-04 23:00:00,Thanjavur,Rice,84.06,29.11,28.99,88.82,15.23,168.94,Normal,No Action,
2024-06-05 00:00:00,Thanjavur,Rice,84.71,27.76,26.28,94.28,14.74,177.92,Normal,No Action,
2024-06-05 01:00:00,Thanjavur,Rice,85.9,30.01,28.77,90.69,13.94,175.75,Normal,No Action,
2024-06-05 02:00:00,Thanjavur,Rice,86.49,25.32,28.61,87.79,14.88,181.67,Normal,No Action,
2024-06-05 03:00:00,Thanjavur,Rice,87.11,25.83,28.1,85.78,13.96,181.89,Normal,No Action,
2024-06-05 04:00:00,Thanjavur,Rice,86.27,25.22,29.8,95.12,14.81,189.38,Normal,No Action,
2024-06-05 05:00:00,Thanjavur,Rice,81.68,24.73,25.83,95.68,15.05,179.72,Normal,No Action,
2024-06-05 06:00:00,Thanjavur,Rice,84.84,24.91,32.17,90.22,14.51,183.63,Normal,No Action,
2024-06-05 07:00:00,Thanjavur,Rice,85.44,26.94,27.31,91.59,16.28,186.73,Normal,No Action,
2024-06-05 08:00:00,Thanjavur,Rice,88.78,25.83,27.02,89.2,14.46,185.47,Normal,No Action,
2024-06-05 09:00:00,Thanjavur,Rice,78.92,28.89,28.26,87.99,13.39,171.73,Normal,No Action,
2024-06-05 10:00:00,Thanjavur,Rice,86.47,26.71,26.57,84.52,14.06,188.35,Normal,No Action,
2024-06-05 11:00:00,Thanjavur,Rice,83.22,29.14,37.63,88.61,11.7,179.73,Heat Stress,No Action,
2024-06-05 12:00:00,Thanjavur,Rice,83.31,27.64,31.27,94.21,14.13,174.47,Normal,No Action,
2024-06-05 13:00:00,Thanjavur,Rice,91.72,26.69,28.52,89.6,14.6,179.28,Normal,No Action,
2024-06-05 14:00:00,Thanjavur,Rice,82.28,25.78,28.45,87.53,13.69,180.53,Normal,No Action,
2024-06-05 15:00:00,Thanjavur,Rice,83.24,28.86,24.52,94.07,15.65,169.63,Normal,No Action,
2024-06-05 16:00:00,Thanjavur,Rice,82.97,26.04,26.39,86.59,13.29,188.76,Normal,No Action,
2024-06-05 17:00:00,Thanjavur,Rice,86.81,28.51,29.58,85.18,13.88,182.45,Normal,No Action,
2024-06-05 18:00:00,Thanjavur,Rice,80.33,27.67,28.14,88.2,15.11,182.22,Normal,No Action,
2024-06-05 19:00:00,Thanjavur,Rice,82.92,28.34,26.88,92.16,14.99,178.45,Normal,No Action,
2024-06-05 20:00:00,Thanjavur,Rice,84.98,24.72,29.89,88.96,13.88,185.25,Normal,No Action,
2024-06-05 21:00:00,Thanjavur,Rice,81.89,24.49,26.17,92.12,13.12,188.77,Normal,No Action,
2024-06-05 22:00:00,Thanjavur,Rice,77.75,29.14,28.82,89.31,13.86,182.0,Normal,No Action,
2024-06-05 23:00:00,Thanjavur,Rice,83.89,28.25,28.67,90.3,14.04,179.72,Normal,No Action,
2024-06-06 00:00:00,Thanjavur,Rice,100.0,24.03,26.48,92.67,51.0,179.08,Flood/Overwatering,No Action,
2024-06-06 01:00:00,Thanjavur,Rice,84.06,27.12,27.69,86.59,14.6,175.11,Normal,No Action,
2024-06-06 02:00:00,Thanjavur,Rice,85.22,24.05,30.04,91.59,14.66,184.91,Normal,No Action,
2024-06-06 03:00:00,Thanjavur,Rice,89.0,28.12,25.74,84.58,13.78,180.13,Normal,No Action,
2024-06-06 04:00:00,Thanjavur,Rice,85.55,25.51,28.78,86.68,13.79,172.97,Normal,No Action,
2024-06-06 05:00:00,Thanjavur,Rice,81.23,24.57,27.04,93.91,13.45,193.16,Normal,No Action,
2024-06-06 06:00:00,Thanjavur,Rice,85.48,26.88,27.21,92.5,13.82,180.61,Normal,No Action,
2024-06-06 07:00:00,Thanjavur,Rice,91.68,26.46,30.22,86.89,14.37,188.85,Normal,No Action,
2024-06-06 08:00:00,Thanjavur,Rice,82.12,29.32,29.56,87.45,15.03,184.86,Normal,No Action,
2024-06-06 09:00:00,Thanjavur,Rice,85.87,24.24,27.41,88.71,14.33,183.1,Normal,No Action,
2024-06-06 10:00:00,Thanjavur,Rice,84.53,24.6,29.07,92.14,14.96,185.4,Normal,No Action,
2024-06-06 11:00:00,Thanjavur,Rice,86.5,27.29,28.39,83.06,14.83,181.04,Normal,No Action,
2024-06-06 12:00:00,Thanjavur,Rice,84.81,24.68,26.88,93.91,14.36,183.41,Normal,No Action,
2024-06-06 13:00:00,Thanjavur,Rice,84.08,26.64,29.91,87.64,14.5,177.69,Normal,No Action,
2024-06-06 14:00:00,Thanjavur,Rice,82.7,26.14,28.83,87.79,15.66,175.53,Normal,No Action,
2024-06-06 15:00:00,Thanjavur,Rice,83.44,25.94,30.67,90.49,15.43,172.57,Normal,No Action,
2024-06-06 16:00:00,Thanjavur,Rice,84.8,27.93,28.62,93.96,13.88,187.05,Normal,No Action,
2024-06-06 17:00:00,Thanjavur,Rice,90.9,26.06,27.83,95.51,15.98,177.39,Normal,No Action,
2024-06-06 18:00:00,Thanjavur,Rice,82.74,26.18,26.48,86.03,13.4,176.16,Normal,No Action,
2024-06-06 19:00:00,Thanjavur,Rice,83.9,26.95,30.83,85.71,15.38,178.93,Normal,No Action,
2024-06-06 20:00:00,Thanjavur,Rice,83.85,27.61,26.82,91.23,14.57,182.46,Normal,No Action,
2024-06-06 21:00:00,Thanjavur,Rice,84.87,30.28,27.54,87.58,13.78,177.22,Normal,No Action,
2024-06-06 22:00:00,Thanjavur,Rice,82.09,28.38,30.63,87.42,13.57,182.36,Normal,No Action,
2024-06-06 23:00:00,Thanjavur,Rice,82.34,27.55,28.8,83.64,15.95,188.98,Normal,No Action,
2024-06-07 00:00:00,Thanjavur,Rice,82.16,26.02,28.93,91.04,15.06,190.05,Normal,No Action,
2024-06-07 01:00:00,Thanjavur,Rice,83.47,25.4,26.43,86.78,14.37,188.97,Normal,No Action,
2024-06-07 02:00:00,Thanjavur,Rice,82.45,26.94,28.48,94.45,16.93,177.35,Normal,No Action,
2024-06-07 03:00:00,Thanjavur,Rice,82.53,28.17,29.52,97.09,14.98,178.2,Normal,No Action,
2024-06-07 04:00:00,Thanjavur,Rice,85.77,28.26,29.73,91.73,15.47,185.85,Normal,No Action,
2024-06-07 05:00:00,Thanjavur,Rice,88.15,27.57,28.25,90.29,15.61,175.92,Normal,No Action,
2024-06-07 06:00:00,Thanjavur,Rice,85.11,26.01,28.54,94.81,14.59,180.23,Normal,No Action,
2024-06-07 07:00:00,Thanjavur,Rice,79.92,27.72,29.47,98.35,14.09,181.1,Normal,No Action,
2024-06-07 08:00:00,Thanjavur,Rice,84.75,33.63,35.28,90.82,15.01,180.93,Heat Stress,No Action,
2024-06-07 09:00:00,Thanjavur,Rice,82.66,26.89,30.11,85.59,14.53,176.5,Normal,No Action,
2024-06-07 10:00:00,Thanjavur,Rice,87.59,24.32,27.66,91.21,15.97,179.67,Normal,No Action,
2024-06-07 11:00:00,Thanjavur,Rice,82.33,29.42,26.33,80.9,14.84,177.49,Normal,No Action,
2024-06-07 12:00:00,Thanjavur,Rice,80.94,27.66,28.87,87.44,13.12,184.36,Normal,No Action,
2024-06-07 13:00:00,Thanjavur,Rice,85.95,26.45,31.27,85.42,12.87,176.54,Normal,No Action,
2024-06-07 14:00:00,Thanjavur,Rice,83.86,26.97,28.14,91.11,13.15,187.22,Normal,No Action,
2024-06-07 15:00:00,Thanjavur,Rice,83.75,28.28,29.01,91.53,14.97,182.24,Normal,No Action,
2024-06-07 16:00:00,Thanjavur,Rice,85.93,28.59,28.79,92.54,14.31,187.2,Normal,No Action,
2024-06-07 17:00:00,Thanjavur,Rice,81.97,29.3,28.44,83.98,14.53,176.59,Normal,No Action,
2024-06-07 18:00:00,Thanjavur,Rice,86.52,25.62,27.83,82.14,13.95,167.88,Normal,No Action,
2024-06-07 19:00:00,Thanjavur,Rice,79.25,27.74,29.68,91.4,13.43,179.76,Normal,No Action,
2024-06-07 20:00:00,Thanjavur,Rice,83.99,24.86,30.76,93.21,14.18,180.13,Normal,No Action,
2024-06-07 21:00:00,Thanjavur,Rice,84.63,23.54,28.13,86.97,13.4,178.59,Normal,No Action,
2024-06-07 22:00:00,Thanjavur,Rice,89.39,27.56,27.64,91.99,15.8,184.62,Normal,No Action,
2024-06-07 23:00:00,Thanjavur,Rice,84.18,25.63,29.55,91.27,15.3,183.18,Normal,No Action,
2024-06-08 00:00:00,Thanjavur,Rice,87.15,25.8,30.48,90.49,16.48,176.55,Normal,No Action,
2024-06-08 01:00:00,Thanjavur,Rice,89.21,26.9,27.52,87.76,14.08,182.12,Normal,No Action,
2024-06-08 02:00:00,Thanjavur,Rice,85.57,25.74,28.46,98.27,16.13,182.18,Normal,No Action,
2024-06-08 03:00:00,Thanjavur,Rice,84.11,26.78,29.42,85.61,14.14,171.66,Normal,No Action,
2024-06-08 04:00:00,Thanjavur,Rice,85.2,27.57,27.78,96.0,13.17,172.68,Normal,No Action,
2024-06-08 05:00:00,Thanjavur,Rice,84.67,28.17,31.03,87.86,15.48,179.81,Normal,No Action,
2024-06-08 06:00:00,Thanjavur,Rice,83.48,27.93,29.48,83.39,15.88,186.9,Normal,No Action,
2024-06-08 07:00:00,Thanjavur,Rice,82.12,27.19,29.24,90.74,13.85,176.64,Normal,No Action,
2024-06-08 08:00:00,Thanjavur,Rice,83.92,28.36,29.32,88.22,15.17,165.76,Normal,No Action,
2024-06-08 09:00:00,Thanjavur,Rice,87.45,23.99,27.96,85.22,13.11,185.8,Normal,No Action,
2024-06-08 10:00:00,Thanjavur,Rice,82.6,27.12,28.43,91.61,14.48,173.59,Normal,No Action,
2024-06-08 11:00:00,Thanjavur,Rice,86.99,25.86,26.17,87.99,15.9,184.25,Normal,No Action,
2024-06-08 12:00:00,Thanjavur,Rice,82.95,26.08,28.02,98.01,14.78,182.15,Normal,No Action,
2024-06-08 13:00:00,Thanjavur,Rice,87.09,26.96,28.11,88.91,14.33,179.81,Normal,No Action,
2024-06-08 14:00:00,Thanjavur,Rice,86.18,26.68,29.6,89.38,14.48,170.01,Normal,No Action,
2024-06-08 15:00:00,Thanjavur,Rice,86.75,27.12,30.0,78.11,16.49,179.3,Normal,No Action,
2024-06-08 16:00:00,Thanjavur,Rice,87.32,25.04,29.42,85.49,13.78,189.57,Normal,No Action,
2024-06-08 17:00:00,Thanjavur,Rice,83.43,26.93,29.81,91.68,14.55,181.82,Normal,No Action,
2024-06-08 18:00:00,Thanjavur,Rice,91.21,26.51,28.8,93.9,15.51,185.94,Normal,No Action,
2024-06-08 19:00:00,Thanjavur,Rice,85.92,24.89,30.95,85.11,14.7,176.23,Normal,No Action,
2024-06-08 20:00:00,Thanjavur,Rice,83.81,27.09,28.98,91.39,16.01,182.27,Normal,No Action,
2024-06-08 21:00:00,Thanjavur,Rice,83.27,28.05,30.28,84.79,15.0,183.51,Normal,No Action,
2024-06-08 22:00:00,Thanjavur,Rice,83.11,28.66,28.27,90.2,14.23,180.08,Normal,No Action,
2024-06-08 23:00:00,Thanjavur,Rice,80.71,24.44,30.89,86.31,13.41,169.23,Normal,No Action,
2024-06-09 00:00:00,Thanjavur,Rice,82.08,24.62,30.96,93.74,13.71,191.26,Normal,No Action,
2024-06-09 01:00:00,Thanjavur,Rice,86.95,26.11,24.75,98.86,13.01,171.77,Normal,No Action,
2024-06-09 02:00:00,Thanjavur,Rice,87.07,30.26,30.58,91.96,14.99,184.27,Normal,No Action,
2024-06-09 03:00:00,Thanjavur,Rice,86.28,27.02,28.66,89.45,13.65,178.6,Normal,No Action,
2024-06-09 04:00:00,Thanjavur,Rice,78.92,26.45,27.02,85.29,14.58,186.96,Normal,No Action,
2024-06-09 05:00:00,Thanjavur,Rice,86.75,24.24,27.02,93.46,13.42,178.88,Normal,No Action,
2024-06-09 06:00:00,Thanjavur,Rice,85.65,25.15,28.66,84.36,13.8,181.6,Normal,No Action,
2024-06-09 07:00:00,Thanjavur,Rice,79.22,27.26,28.47,91.91,14.62,186.82,Normal,No Action,
2024-06-09 08:00:00,Thanjavur,Rice,84.38,25.96,28.68,91.87,14.45,180.2,Normal,No Action,
2024-06-09 09:00:00,Thanjavur,Rice,81.89,25.61,26.4,96.7,13.16,176.54,Normal,No Action,
2024-06-09 10:00:00,Thanjavur,Rice,81.84,27.94,28.06,94.69,13.73,181.39,Normal,No Action,
2024-06-09 11:00:00,Thanjavur,Rice,81.49,29.82,26.72,90.94,15.03,182.07,Normal,No Action,
2024-06-09 12:00:00,Thanjavur,Rice,83.44,26.41,28.57,89.11,15.36,191.05,Normal,No Action,
2024-06-09 13:00:00,Thanjavur,Rice,82.33,24.55,28.37,100.0,13.6,188.2,Normal,No Action,
2024-06-09 14:00:00,Thanjavur,Rice,89.03,25.77,29.35,96.21,14.02,178.98,Normal,No Action,
2024-06-09 15:00:00,Thanjavur,Rice,82.25,25.08,27.53,84.8,14.43,176.15,Normal,No Action,
2024-06-09 16:00:00,Thanjavur,Rice,84.7,24.27,29.0,93.03,12.41,181.87,Normal,No Action,
2024-06-09 17:00:00,Thanjavur,Rice,87.68,24.79,31.01,91.38,13.69,179.72,Normal,No Action,
2024-06-09 18:00:00,Thanjavur,Rice,85.67,26.71,29.31,86.02,14.57,172.93,Normal,No Action,
2024-06-09 19:00:00,Thanjavur,Rice,83.67,25.24,27.4,94.64,15.49,183.05,Normal,No Action,
2024-06-09 20:00:00,Thanjavur,Rice,80.72,26.13,30.32,90.27,16.72,181.97,Normal,No Action,
2024-06-09 21:00:00,Thanjavur,Rice,84.58,26.14,28.7,89.09,15.11,184.78,Normal,No Action,
2024-06-09 22:00:00,Thanjavur,Rice,81.64,24.6,25.75,91.73,13.3,169.24,Normal,No Action,
2024-06-09 23:00:00,Thanjavur,Rice,85.17,30.34,28.49,93.05,14.48,179.51,Normal,No Action,
2024-06-10 00:00:00,Thanjavur,Rice,86.76,26.16,28.9,90.99,13.73,184.96,Normal,No Action,
2024-06-10 01:00:00,Thanjavur,Rice,83.48,25.47,29.3,86.11,14.43,179.95,Normal,No Action,
2024-06-10 02:00:00,Thanjavur,Rice,87.26,27.31,28.46,92.97,15.79,182.79,Normal,No Action,
2024-06-10 03:00:00,Thanjavur,Rice,84.03,24.63,26.9,88.48,13.79,179.07,Normal,No Action,
2024-06-10 04:00:00,Thanjavur,Rice,84.17,27.39,28.39,91.65,14.46,170.12,Normal,No Action,
2024-06-10 05:00:00,Thanjavur,Rice,81.18,26.38,26.69,92.1,15.93,186.09,Normal,No Action,
2024-06-10 06:00:00,Thanjavur,Rice,83.36,28.84,28.72,88.35,13.79,178.49,Normal,No Action,
2024-06-10 07:00:00,Thanjavur,Rice,82.84,26.86,28.74,89.71,14.84,185.95,Normal,No Action,
2024-06-10 08:00:00,Thanjavur,Rice,86.85,24.37,24.67,93.44,13.03,178.88,Normal,No Action,
2024-06-10 09:00:00,Thanjavur,Rice,80.49,23.9,29.31,92.74,13.82,167.04,Normal,No Action,
2024-06-10 10:00:00,Thanjavur,Rice,82.36,27.19,26.28,90.43,14.38,182.9,Normal,No Action,
2024-06-10 11:00:00,Thanjavur,Rice,84.36,25.14,30.29,89.07,14.37,175.33,Normal,No Action,
2024-06-10 12:00:00,Thanjavur,Rice,82.67,25.27,28.24,96.55,13.03,171.93,Normal,No Action,
2024-06-10 13:00:00,Thanjavur,Rice,88.41,26.29,27.5,93.86,13.79,189.13,Normal,No Action,
2024-06-10 14:00:00,Thanjavur,Rice,86.03,25.87,31.74,87.28,15.14,181.5,Normal,No Action,
2024-06-10 15:00:00,Thanjavur,Rice,87.91,28.94,28.55,86.69,14.86,176.61,Normal,No Action,
2024-06-10 16:00:00,Thanjavur,Rice,90.04,26.8,27.95,90.44,13.05,175.14,Normal,No Action,
2024-06-10 17:00:00,Thanjavur,Rice,87.6,25.61,26.93,91.85,15.59,183.59,Normal,No Action,
2024-06-10 18:00:00,Thanjavur,Rice,86.99,25.46,26.37,95.71,14.08,178.75,Normal,No Action,
2024-06-10 19:00:00,Thanjavur,Rice,87.98,27.43,29.18,98.36,13.76,184.64,Normal,No Action,
2024-06-10 20:00:00,Thanjavur,Rice,84.17,27.0,30.79,91.73,14.94,185.36,Normal,No Action,
2024-06-10 21:00:00,Thanjavur,Rice,82.91,25.34,26.93,81.83,16.46,174.48,Normal,No Action,
2024-06-10 22:00:00,Thanjavur,Rice,83.34,26.18,28.96,92.96,15.26,177.08,Normal,No Action,
2024-06-10 23:00:00,Thanjavur,Rice,83.5,27.02,28.13,96.13,14.89,183.67,Normal,No Action,
2024-06-11 00:00:00,Thanjavur,Rice,85.99,28.36,28.77,84.51,14.8,176.74,Normal,No Action,
2024-06-11 01:00:00,Thanjavur,Rice,82.41,27.48,30.36,89.79,14.71,188.51,Normal,No Action,
